"","Year","Locator","pH"
"835",2001,"0631",7.4125
"836",2001,"A315",6.95
"837",2001,"A320",7.435
"838",2001,"A432",7.6
"839",2001,"A456",7.2
"840",2001,"A499",7.81
"841",2001,"A617",7.65
"842",2001,"A620",7.625
"843",2001,"A630",7.23
"844",2001,"A680",7.3625
"845",2001,"A685",7.6
"846",2001,"A690",7.6
"847",2001,"B484",7.1
"848",2001,"C320",7.4
"849",2001,"C370",NA
"850",2001,"D320",7.3
"851",2001,"G320",7.31
"852",2001,"KSHZ06",7.6
"853",2001,"KTHA03",7.8
"854",2001,"N484",7.4
"855",2001,"VA12A",NA
"856",2001,"VA41A",NA
"857",2001,"VA42A",NA
"858",2001,"VA45A",NA
"859",2002,"0311",7.1
"860",2002,"0317",6.8
"861",2002,"0321",7.3
"862",2002,"0322",7.625
"863",2002,"0430",7.45
"864",2002,"0434",7.25
"865",2002,"0438",7.225
"866",2002,"0440",7.45
"867",2002,"0442",7.8
"868",2002,"0444",7.2
"869",2002,"0446",7.2
"870",2002,"0470",7.25
"871",2002,"0474",7.5
"872",2002,"0478",7.4
"873",2002,"0484",7.2
"874",2002,"0631",7.3
"875",2002,"A315",7.025
"876",2002,"A320",7.4875
"877",2002,"A432",7.525
"878",2002,"A456",7.1
"879",2002,"A499",7.8
"880",2002,"A617",7.45
"881",2002,"A620",7.6
"882",2002,"A630",7.15
"883",2002,"A680",7.25
"884",2002,"A685",7.5
"885",2002,"A690",7.4
"886",2002,"B484",6.9
"887",2002,"C320",7.35
"888",2002,"C370",7.865
"889",2002,"D320",7.3
"890",2002,"G320",7.3
"891",2002,"KSHZ06",7.55
"892",2002,"KTHA03",7.65
"893",2002,"N484",7.15
"894",2002,"VA12A",NA
"895",2002,"VA41A",NA
"896",2002,"VA42A",NA
"897",2002,"VA45A",NA
"898",2003,"0311",6.95
"899",2003,"0317",6.6
"900",2003,"0321",7.25
"901",2003,"0322",7.6
"902",2003,"0430",7.25
"903",2003,"0434",7.1
"904",2003,"0438",7.1
"905",2003,"0440",7.4
"906",2003,"0442",7.75
"907",2003,"0444",7.05
"908",2003,"0446",7.2
"909",2003,"0470",7.1
"910",2003,"0474",7.4
"911",2003,"0478",7.3
"912",2003,"0484",7.2
"913",2003,"0631",7.3
"914",2003,"A315",7.06666666666667
"915",2003,"A320",7.41666666666667
"916",2003,"A432",7.3
"917",2003,"A456",7
"918",2003,"A499",7.7
"919",2003,"A617",7.35
"920",2003,"A620",7.45
"921",2003,"A630",7.15
"922",2003,"A680",7.13333333333333
"923",2003,"A685",7.35
"924",2003,"A690",7.6
"925",2003,"B484",7
"926",2003,"C320",7.1
"927",2003,"C370",7.2
"928",2003,"D320",7.3
"929",2003,"G320",7.2
"930",2003,"KSHZ06",7.5
"931",2003,"KTHA03",7.7
"932",2003,"N484",7.3
"933",2003,"VA12A",NA
"934",2003,"VA41A",NA
"935",2003,"VA42A",NA
"936",2003,"VA45A",NA
"937",2004,"0311",7.3
"938",2004,"0317",6.8
"939",2004,"0321",7.3
"940",2004,"0322",7.375
"941",2004,"0430",7.5
"942",2004,"0434",7.1
"943",2004,"0438",7.425
"944",2004,"0440",7.435
"945",2004,"0442",8
"946",2004,"0444",7.23
"947",2004,"0446",7.45
"948",2004,"0470",7.35
"949",2004,"0474",7.5
"950",2004,"0478",7.45
"951",2004,"0484",7.4
"952",2004,"0631",7.385
"953",2004,"A315",6.71666666666667
"954",2004,"A320",7.35
"955",2004,"A432",7.55
"956",2004,"A456",7.3
"957",2004,"A499",7.8
"958",2004,"A617",7.25
"959",2004,"A620",7.5
"960",2004,"A630",7
"961",2004,"A680",7.15
"962",2004,"A685",7.4
"963",2004,"A690",7.4
"964",2004,"B484",7.2
"965",2004,"C320",7.2
"966",2004,"C370",7.1
"967",2004,"D320",7.2
"968",2004,"G320",7.3
"969",2004,"KSHZ06",7.5
"970",2004,"KTHA03",7.7
"971",2004,"N484",7.2
"972",2004,"VA12A",NA
"973",2004,"VA41A",NA
